,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,ref_name
969,2003-01-01,Arsenal,Chelsea,3.0,2.0,H,1.0,0.0,H,7.0,8.0,7.0,7.0,2.0,7.0,13.0,9.0,0.0,0.0,0.0,0.0,Uriah Rennie
970,2003-01-01,Aston Villa,Bolton,2.0,0.0,H,1.0,0.0,H,12.0,9.0,7.0,4.0,9.0,8.0,14.0,4.0,2.0,0.0,0.0,0.0,Matt Messias
971,2003-01-01,Blackburn,Middlesbrough,1.0,0.0,H,0.0,0.0,D,17.0,7.0,10.0,3.0,5.0,2.0,15.0,8.0,0.0,0.0,0.0,0.0,David Pugh
972,2003-01-01,Everton,Man City,2.0,2.0,D,1.0,1.0,D,12.0,9.0,5.0,2.0,4.0,1.0,13.0,19.0,1.0,2.0,0.0,0.0,Andy D'Urso
973,2003-01-01,Leeds,Birmingham,2.0,0.0,H,1.0,0.0,H,12.0,9.0,6.0,5.0,5.0,8.0,14.0,9.0,1.0,2.0,0.0,0.0,Phil Dowd
974,2003-01-01,Man United,Sunderland,2.0,1.0,H,0.0,1.0,A,31.0,4.0,18.0,1.0,10.0,2.0,12.0,11.0,2.0,1.0,0.0,0.0,Graham Poll
975,2003-01-01,Newcastle,Liverpool,1.0,0.0,H,1.0,0.0,H,8.0,5.0,5.0,4.0,4.0,4.0,6.0,20.0,1.0,3.0,0.0,1.0,Dermot Gallagher
976,2003-01-01,Southampton,Tottenham,1.0,0.0,H,0.0,0.0,D,12.0,11.0,6.0,7.0,5.0,5.0,15.0,5.0,0.0,0.0,0.0,0.0,Mark Halsey
977,2003-11-01,Bolton,Fulham,0.0,0.0,D,0.0,0.0,D,17.0,13.0,5.0,8.0,7.0,4.0,15.0,16.0,1.0,2.0,0.0,0.0,Alan Wiley
978,2003-11-01,Chelsea,Charlton,4.0,1.0,H,3.0,1.0,H,15.0,6.0,7.0,5.0,8.0,4.0,9.0,13.0,4.0,3.0,0.0,0.0,Mike Dean
979,2003-11-01,Liverpool,Aston Villa,1.0,1.0,D,1.0,0.0,H,19.0,8.0,11.0,3.0,9.0,2.0,11.0,18.0,1.0,2.0,0.0,0.0,Paul Durkin
980,2003-11-01,Man City,Leeds,2.0,1.0,H,1.0,0.0,H,11.0,4.0,5.0,3.0,8.0,8.0,9.0,12.0,0.0,4.0,0.0,0.0,Rob Styles
981,2003-11-01,Middlesbrough,Southampton,2.0,2.0,D,0.0,1.0,A,12.0,17.0,4.0,8.0,7.0,4.0,7.0,10.0,0.0,2.0,0.0,0.0,David Elleray
982,2003-11-01,Sunderland,Blackburn,0.0,0.0,D,0.0,0.0,D,9.0,12.0,4.0,4.0,3.0,4.0,18.0,12.0,1.0,3.0,0.0,0.0,Mike Riley
983,2003-11-01,West Brom,Man United,1.0,3.0,A,1.0,2.0,A,9.0,9.0,3.0,4.0,2.0,6.0,10.0,7.0,0.0,1.0,0.0,0.0,Neale Barry
984,2003-11-01,West Ham,Newcastle,2.0,2.0,D,2.0,1.0,H,13.0,12.0,8.0,7.0,5.0,3.0,17.0,18.0,0.0,1.0,0.0,0.0,Jeff Winter
985,2003-12-01,Birmingham,Arsenal,0.0,4.0,A,0.0,2.0,A,10.0,12.0,4.0,9.0,7.0,5.0,13.0,17.0,2.0,2.0,0.0,0.0,Steve Bennett
986,2003-12-01,Tottenham,Everton,4.0,3.0,H,1.0,1.0,D,18.0,13.0,12.0,10.0,9.0,9.0,12.0,10.0,1.0,1.0,0.0,0.0,Steve Dunn
987,2003-01-18,Aston Villa,Tottenham,0.0,1.0,A,0.0,0.0,D,11.0,10.0,5.0,6.0,11.0,5.0,9.0,11.0,1.0,3.0,0.0,0.0,Neale Barry
988,2003-01-18,Blackburn,Birmingham,1.0,1.0,D,1.0,0.0,H,14.0,15.0,10.0,7.0,4.0,11.0,16.0,15.0,2.0,3.0,1.0,0.0,Clive Wilkes
989,2003-01-18,Charlton,Bolton,1.0,1.0,D,0.0,0.0,D,10.0,10.0,5.0,5.0,7.0,7.0,11.0,12.0,0.0,0.0,0.0,0.0,David Elleray
990,2003-01-18,Everton,Sunderland,2.0,1.0,H,0.0,1.0,A,15.0,7.0,9.0,5.0,13.0,8.0,14.0,19.0,2.0,3.0,0.0,0.0,Phil Dowd
991,2003-01-18,Leeds,West Brom,0.0,0.0,D,0.0,0.0,D,10.0,8.0,4.0,1.0,6.0,5.0,11.0,12.0,1.0,1.0,0.0,1.0,Uriah Rennie
992,2003-01-18,Man United,Chelsea,2.0,1.0,H,1.0,1.0,D,10.0,10.0,8.0,5.0,6.0,6.0,9.0,9.0,0.0,0.0,0.0,0.0,Paul Durkin
993,2003-01-18,Newcastle,Man City,2.0,0.0,H,1.0,0.0,H,13.0,6.0,10.0,2.0,7.0,1.0,13.0,13.0,0.0,1.0,0.0,0.0,Graham Poll
994,2003-01-18,Southampton,Liverpool,0.0,1.0,A,0.0,1.0,A,8.0,17.0,4.0,7.0,6.0,4.0,8.0,10.0,1.0,1.0,0.0,0.0,Steve Bennett
995,2003-01-19,Arsenal,West Ham,3.0,1.0,H,1.0,1.0,D,24.0,5.0,13.0,2.0,12.0,1.0,17.0,9.0,3.0,1.0,0.0,1.0,Mike Dean
996,2003-01-19,Fulham,Middlesbrough,1.0,0.0,H,1.0,0.0,H,18.0,8.0,6.0,4.0,8.0,4.0,12.0,12.0,0.0,1.0,0.0,0.0,Mark Halsey
997,2003-01-22,Charlton,West Ham,4.0,2.0,H,2.0,1.0,H,12.0,11.0,4.0,3.0,8.0,2.0,11.0,7.0,0.0,1.0,0.0,0.0,Eddie Wolstenholme
998,2003-01-22,Newcastle,Bolton,1.0,0.0,H,1.0,0.0,H,10.0,12.0,7.0,4.0,7.0,3.0,15.0,6.0,1.0,2.0,0.0,0.0,Phil Dowd
999,2003-01-28,Bolton,Everton,1.0,2.0,A,0.0,2.0,A,7.0,6.0,5.0,4.0,5.0,6.0,8.0,15.0,2.0,1.0,0.0,0.0,Rob Styles
1000,2003-01-28,Chelsea,Leeds,3.0,2.0,H,0.0,1.0,A,13.0,5.0,7.0,5.0,7.0,3.0,6.0,6.0,2.0,1.0,0.0,0.0,Jeff Winter
1001,2003-01-28,Middlesbrough,Aston Villa,2.0,5.0,A,2.0,2.0,D,13.0,15.0,8.0,9.0,6.0,3.0,13.0,11.0,1.0,2.0,0.0,0.0,Dermot Gallagher
1002,2003-01-28,Sunderland,Southampton,0.0,1.0,A,0.0,0.0,D,10.0,12.0,4.0,6.0,5.0,2.0,9.0,13.0,1.0,0.0,0.0,0.0,Neale Barry
1003,2003-01-29,Liverpool,Arsenal,2.0,2.0,D,0.0,1.0,A,16.0,20.0,12.0,15.0,9.0,10.0,14.0,11.0,1.0,1.0,0.0,0.0,Mark Halsey
1004,2003-01-29,Man City,Fulham,4.0,1.0,H,1.0,1.0,D,11.0,6.0,4.0,2.0,9.0,3.0,10.0,10.0,3.0,1.0,0.0,0.0,Steve Bennett
1005,2003-01-29,Tottenham,Newcastle,0.0,1.0,A,0.0,0.0,D,13.0,15.0,7.0,8.0,5.0,4.0,14.0,9.0,0.0,1.0,0.0,0.0,David Elleray
1006,2003-01-29,West Brom,Charlton,0.0,1.0,A,0.0,0.0,D,15.0,3.0,6.0,2.0,6.0,6.0,12.0,14.0,0.0,2.0,0.0,0.0,Andy D'Urso
1007,2003-01-29,West Ham,Blackburn,2.0,1.0,H,0.0,1.0,A,9.0,4.0,7.0,1.0,5.0,4.0,16.0,14.0,1.0,1.0,0.0,0.0,Alan Wiley
1008,2003-01-02,Arsenal,Fulham,2.0,1.0,H,1.0,1.0,D,11.0,3.0,6.0,1.0,6.0,4.0,10.0,16.0,3.0,1.0,0.0,0.0,Eddie Wolstenholme
1009,2003-01-02,Bolton,Birmingham,4.0,2.0,H,1.0,1.0,D,15.0,11.0,10.0,6.0,7.0,4.0,16.0,10.0,2.0,2.0,0.0,0.0,Dermot Gallagher
1010,2003-01-02,Chelsea,Tottenham,1.0,1.0,D,1.0,1.0,D,16.0,8.0,8.0,5.0,11.0,3.0,7.0,15.0,1.0,1.0,0.0,0.0,Paul Durkin
1011,2003-01-02,Everton,Leeds,2.0,0.0,H,0.0,0.0,D,13.0,8.0,5.0,2.0,6.0,4.0,6.0,16.0,0.0,1.0,0.0,0.0,Mark Halsey
1012,2003-01-02,Man City,West Brom,1.0,2.0,A,1.0,1.0,D,12.0,9.0,7.0,5.0,6.0,6.0,10.0,17.0,1.0,2.0,0.0,1.0,Neale Barry
1013,2003-01-02,Southampton,Man United,0.0,2.0,A,0.0,2.0,A,9.0,13.0,4.0,8.0,7.0,6.0,15.0,13.0,2.0,0.0,0.0,0.0,Phil Dowd
1014,2003-01-02,Sunderland,Charlton,1.0,3.0,A,0.0,3.0,A,13.0,14.0,5.0,4.0,8.0,3.0,21.0,12.0,1.0,1.0,0.0,0.0,Alan Wiley
1015,2003-02-02,Aston Villa,Blackburn,3.0,0.0,H,2.0,0.0,H,16.0,7.0,9.0,1.0,9.0,2.0,8.0,21.0,1.0,5.0,0.0,0.0,Mike Dean
1016,2003-02-02,West Ham,Liverpool,0.0,3.0,A,0.0,2.0,A,7.0,11.0,2.0,5.0,6.0,8.0,12.0,12.0,1.0,0.0,0.0,0.0,Matt Messias
1017,2003-04-02,Birmingham,Man United,0.0,1.0,A,0.0,0.0,D,5.0,15.0,3.0,7.0,3.0,5.0,9.0,14.0,1.0,1.0,0.0,0.0,Steve Dunn
1018,2003-08-02,Birmingham,Chelsea,1.0,3.0,A,0.0,1.0,A,7.0,3.0,6.0,3.0,7.0,2.0,13.0,14.0,1.0,4.0,0.0,0.0,Mark Halsey
1019,2003-08-02,Blackburn,Southampton,1.0,0.0,H,1.0,0.0,H,18.0,11.0,11.0,5.0,6.0,6.0,9.0,11.0,0.0,1.0,0.0,0.0,Mike Riley
1020,2003-08-02,Charlton,Everton,2.0,1.0,H,1.0,0.0,H,19.0,14.0,10.0,6.0,4.0,10.0,15.0,10.0,0.0,1.0,0.0,0.0,Jeff Winter
1021,2003-08-02,Fulham,Aston Villa,2.0,1.0,H,2.0,1.0,H,17.0,8.0,10.0,5.0,6.0,5.0,11.0,14.0,1.0,3.0,0.0,0.0,Steve Dunn
1022,2003-08-02,Leeds,West Ham,1.0,0.0,H,1.0,0.0,H,10.0,12.0,7.0,3.0,9.0,6.0,13.0,13.0,2.0,2.0,0.0,1.0,Dermot Gallagher
1023,2003-08-02,Liverpool,Middlesbrough,1.0,1.0,D,0.0,1.0,A,17.0,2.0,10.0,2.0,14.0,3.0,16.0,12.0,0.0,2.0,0.0,0.0,Steve Bennett
1024,2003-08-02,Tottenham,Sunderland,4.0,1.0,H,2.0,1.0,H,16.0,8.0,7.0,6.0,10.0,8.0,12.0,11.0,0.0,2.0,0.0,0.0,Rob Styles
1025,2003-08-02,West Brom,Bolton,1.0,1.0,D,0.0,1.0,A,15.0,7.0,8.0,5.0,5.0,4.0,8.0,12.0,2.0,4.0,0.0,0.0,David Elleray
1026,2003-09-02,Man United,Man City,1.0,1.0,D,1.0,0.0,H,15.0,9.0,8.0,6.0,10.0,4.0,8.0,10.0,1.0,1.0,0.0,0.0,Alan Wiley
1027,2003-09-02,Newcastle,Arsenal,1.0,1.0,D,0.0,1.0,A,6.0,18.0,4.0,10.0,6.0,7.0,11.0,10.0,2.0,2.0,1.0,0.0,Neale Barry
1028,2003-02-19,Fulham,West Brom,3.0,0.0,H,0.0,0.0,D,12.0,9.0,8.0,4.0,2.0,3.0,13.0,18.0,1.0,2.0,0.0,0.0,Uriah Rennie
1029,2003-02-22,Bolton,Man United,1.0,1.0,D,0.0,0.0,D,13.0,7.0,5.0,3.0,8.0,5.0,13.0,10.0,1.0,1.0,0.0,0.0,Andy D'Urso
1030,2003-02-22,Charlton,Aston Villa,3.0,0.0,H,0.0,0.0,D,14.0,13.0,9.0,6.0,6.0,6.0,17.0,20.0,2.0,2.0,0.0,0.0,Phil Dowd
1031,2003-02-22,Chelsea,Blackburn,1.0,2.0,A,0.0,0.0,D,16.0,6.0,9.0,5.0,5.0,2.0,11.0,12.0,2.0,1.0,0.0,0.0,Graham Poll
