,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,ref_name
3990,2011-01-01,Birmingham,Arsenal,0.0,3.0,A,0.0,1.0,A,2.0,18.0,1.0,11.0,4.0,5.0,7.0,9.0,3.0,1.0,0.0,0.0,Peter Walton
3991,2011-01-01,Liverpool,Bolton,2.0,1.0,H,0.0,1.0,A,16.0,10.0,7.0,4.0,7.0,4.0,11.0,16.0,2.0,2.0,0.0,0.0,Kevin Friend
3992,2011-01-01,Man City,Blackpool,1.0,0.0,H,1.0,0.0,H,15.0,8.0,4.0,6.0,10.0,4.0,11.0,9.0,0.0,0.0,0.0,0.0,Mark Clattenburg
3993,2011-01-01,Stoke,Everton,2.0,0.0,H,1.0,0.0,H,7.0,15.0,3.0,10.0,1.0,5.0,14.0,8.0,4.0,1.0,0.0,0.0,Andre Marriner
3994,2011-01-01,Sunderland,Blackburn,3.0,0.0,H,2.0,0.0,H,13.0,11.0,7.0,3.0,3.0,2.0,13.0,9.0,1.0,2.0,0.0,0.0,Mike Dean
3995,2011-01-01,Tottenham,Fulham,1.0,0.0,H,1.0,0.0,H,13.0,12.0,9.0,4.0,5.0,1.0,11.0,9.0,2.0,1.0,0.0,0.0,Mike Jones
3996,2011-01-01,West Brom,Man United,1.0,2.0,A,1.0,1.0,D,17.0,5.0,8.0,3.0,4.0,5.0,8.0,13.0,1.0,3.0,0.0,0.0,Chris Foy
3997,2011-01-01,West Ham,Wolves,2.0,0.0,H,0.0,0.0,D,11.0,15.0,6.0,10.0,5.0,10.0,7.0,14.0,0.0,1.0,0.0,0.0,Lee Probert
3998,2011-02-01,Chelsea,Aston Villa,3.0,3.0,D,1.0,1.0,D,15.0,16.0,10.0,10.0,9.0,6.0,17.0,11.0,2.0,7.0,0.0,0.0,Lee Mason
3999,2011-02-01,Wigan,Newcastle,0.0,1.0,A,0.0,1.0,A,9.0,13.0,4.0,5.0,3.0,3.0,15.0,14.0,2.0,2.0,0.0,0.0,Howard Webb
4000,2011-04-01,Blackpool,Birmingham,1.0,2.0,A,0.0,1.0,A,19.0,11.0,13.0,7.0,3.0,7.0,9.0,6.0,0.0,1.0,0.0,0.0,Jonathan Moss
4001,2011-04-01,Fulham,West Brom,3.0,0.0,H,1.0,0.0,H,12.0,12.0,6.0,4.0,7.0,4.0,7.0,9.0,0.0,1.0,0.0,0.0,Martin Atkinson
4002,2011-04-01,Man United,Stoke,2.0,1.0,H,1.0,0.0,H,18.0,5.0,7.0,1.0,6.0,1.0,6.0,11.0,0.0,0.0,0.0,0.0,Mark Clattenburg
4003,2011-05-01,Arsenal,Man City,0.0,0.0,D,0.0,0.0,D,13.0,5.0,8.0,0.0,7.0,2.0,6.0,12.0,0.0,2.0,1.0,1.0,Mike Jones
4004,2011-05-01,Aston Villa,Sunderland,0.0,1.0,A,0.0,0.0,D,8.0,11.0,2.0,5.0,5.0,9.0,9.0,12.0,3.0,3.0,1.0,1.0,Peter Walton
4005,2011-05-01,Blackburn,Liverpool,3.0,1.0,H,2.0,0.0,H,10.0,13.0,4.0,9.0,0.0,7.0,14.0,13.0,1.0,1.0,0.0,0.0,Andre Marriner
4006,2011-05-01,Bolton,Wigan,1.0,1.0,D,0.0,0.0,D,14.0,10.0,7.0,7.0,8.0,4.0,9.0,8.0,0.0,4.0,0.0,0.0,Phil Dowd
4007,2011-05-01,Everton,Tottenham,2.0,1.0,H,1.0,1.0,D,19.0,13.0,12.0,5.0,4.0,3.0,16.0,12.0,1.0,0.0,0.0,0.0,Lee Probert
4008,2011-05-01,Newcastle,West Ham,5.0,0.0,H,3.0,0.0,H,11.0,13.0,7.0,6.0,4.0,3.0,10.0,10.0,0.0,4.0,0.0,0.0,Mike Dean
4009,2011-05-01,Wolves,Chelsea,1.0,0.0,H,1.0,0.0,H,3.0,17.0,2.0,8.0,4.0,9.0,15.0,12.0,0.0,1.0,0.0,0.0,Mark Halsey
4010,2011-12-01,Blackpool,Liverpool,2.0,1.0,H,1.0,1.0,D,13.0,10.0,9.0,6.0,3.0,3.0,6.0,13.0,1.0,3.0,0.0,0.0,Michael Oliver
4011,2011-01-15,Chelsea,Blackburn,2.0,0.0,H,0.0,0.0,D,27.0,3.0,11.0,2.0,14.0,1.0,10.0,6.0,1.0,0.0,0.0,0.0,Martin Atkinson
4012,2011-01-15,Man City,Wolves,4.0,3.0,H,1.0,1.0,D,15.0,10.0,12.0,7.0,11.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,Lee Mason
4013,2011-01-15,Stoke,Bolton,2.0,0.0,H,1.0,0.0,H,12.0,13.0,5.0,6.0,5.0,5.0,8.0,13.0,0.0,2.0,0.0,0.0,Michael Oliver
4014,2011-01-15,West Brom,Blackpool,3.0,2.0,H,1.0,1.0,D,18.0,9.0,11.0,2.0,4.0,4.0,10.0,11.0,1.0,2.0,0.0,0.0,Stuart Attwell
4015,2011-01-15,West Ham,Arsenal,0.0,3.0,A,0.0,2.0,A,7.0,19.0,6.0,13.0,4.0,10.0,8.0,7.0,1.0,0.0,0.0,0.0,Andre Marriner
4016,2011-01-15,Wigan,Fulham,1.0,1.0,D,0.0,0.0,D,8.0,14.0,5.0,5.0,3.0,11.0,21.0,7.0,4.0,2.0,0.0,0.0,Anthony Taylor
4017,2011-01-16,Birmingham,Aston Villa,1.0,1.0,D,0.0,0.0,D,14.0,13.0,4.0,3.0,5.0,7.0,14.0,14.0,1.0,2.0,0.0,0.0,Mark Clattenburg
4018,2011-01-16,Liverpool,Everton,2.0,2.0,D,1.0,0.0,H,19.0,10.0,14.0,5.0,10.0,6.0,16.0,17.0,3.0,0.0,0.0,0.0,Phil Dowd
4019,2011-01-16,Sunderland,Newcastle,1.0,1.0,D,0.0,0.0,D,10.0,9.0,7.0,2.0,4.0,6.0,17.0,5.0,1.0,1.0,0.0,0.0,Howard Webb
4020,2011-01-16,Tottenham,Man United,0.0,0.0,D,0.0,0.0,D,16.0,7.0,6.0,4.0,8.0,2.0,9.0,18.0,2.0,4.0,0.0,1.0,Mike Dean
4021,2011-01-22,Arsenal,Wigan,3.0,0.0,H,1.0,0.0,H,23.0,3.0,15.0,1.0,8.0,1.0,6.0,14.0,0.0,1.0,0.0,1.0,Kevin Friend
4022,2011-01-22,Aston Villa,Man City,1.0,0.0,H,1.0,0.0,H,10.0,24.0,8.0,14.0,2.0,13.0,11.0,11.0,1.0,1.0,0.0,0.0,Howard Webb
4023,2011-01-22,Blackpool,Sunderland,1.0,2.0,A,0.0,2.0,A,13.0,11.0,7.0,6.0,10.0,4.0,13.0,9.0,2.0,0.0,0.0,0.0,Lee Mason
