,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,ref_name
3616,2010-05-01,Stoke,Fulham,3.0,2.0,H,3.0,0.0,H,11.0,14.0,9.0,7.0,8.0,10.0,13.0,7.0,1.0,0.0,0.0,0.0,Mark Clattenburg
3617,2010-09-01,Arsenal,Everton,2.0,2.0,D,1.0,1.0,D,6.0,9.0,5.0,5.0,6.0,8.0,10.0,11.0,1.0,1.0,0.0,0.0,Peter Walton
3618,2010-09-01,Birmingham,Man United,1.0,1.0,D,1.0,0.0,H,6.0,14.0,5.0,10.0,2.0,12.0,10.0,13.0,2.0,1.0,0.0,1.0,Mark Clattenburg
3619,2010-11-01,Man City,Blackburn,4.0,1.0,H,2.0,0.0,H,12.0,8.0,6.0,3.0,4.0,3.0,6.0,10.0,1.0,1.0,0.0,0.0,Chris Foy
3620,2010-01-16,Chelsea,Sunderland,7.0,2.0,H,4.0,0.0,H,23.0,7.0,13.0,3.0,15.0,1.0,4.0,10.0,0.0,1.0,0.0,0.0,Chris Foy
3621,2010-01-16,Everton,Man City,2.0,0.0,H,2.0,0.0,H,13.0,8.0,6.0,4.0,11.0,3.0,14.0,14.0,0.0,0.0,0.0,0.0,Andre Marriner
3622,2010-01-16,Man United,Burnley,3.0,0.0,H,0.0,0.0,D,24.0,11.0,11.0,5.0,7.0,1.0,12.0,7.0,0.0,0.0,0.0,0.0,Lee Probert
3623,2010-01-16,Stoke,Liverpool,1.0,1.0,D,0.0,0.0,D,6.0,4.0,5.0,3.0,10.0,0.0,14.0,10.0,1.0,2.0,0.0,0.0,Lee Mason
3624,2010-01-16,Tottenham,Hull,0.0,0.0,D,0.0,0.0,D,25.0,8.0,18.0,2.0,14.0,1.0,14.0,11.0,4.0,2.0,0.0,0.0,Martin Atkinson
3625,2010-01-16,Wolves,Wigan,0.0,2.0,A,0.0,0.0,D,9.0,20.0,4.0,14.0,4.0,3.0,14.0,16.0,4.0,3.0,1.0,1.0,Howard Webb
3626,2010-01-17,Aston Villa,West Ham,0.0,0.0,D,0.0,0.0,D,17.0,8.0,10.0,3.0,16.0,4.0,7.0,12.0,1.0,3.0,0.0,0.0,Mike Jones
3627,2010-01-17,Blackburn,Fulham,2.0,0.0,H,1.0,0.0,H,11.0,14.0,7.0,9.0,3.0,6.0,14.0,9.0,1.0,3.0,0.0,0.0,Kevin Friend
3628,2010-01-17,Bolton,Arsenal,0.0,2.0,A,0.0,1.0,A,12.0,14.0,6.0,9.0,2.0,4.0,13.0,5.0,1.0,2.0,0.0,0.0,Phil Dowd
3629,2010-01-20,Arsenal,Bolton,4.0,2.0,H,1.0,2.0,A,20.0,7.0,14.0,4.0,9.0,3.0,16.0,17.0,1.0,2.0,0.0,0.0,Alan Wiley
3630,2010-01-20,Liverpool,Tottenham,2.0,0.0,H,1.0,0.0,H,13.0,7.0,5.0,5.0,2.0,3.0,11.0,17.0,2.0,3.0,0.0,0.0,Howard Webb
3631,2010-01-23,Man United,Hull,4.0,0.0,H,1.0,0.0,H,25.0,8.0,15.0,4.0,12.0,8.0,6.0,10.0,1.0,1.0,0.0,0.0,Steve Bennett
3632,2010-01-26,Bolton,Burnley,1.0,0.0,H,1.0,0.0,H,14.0,10.0,6.0,5.0,4.0,7.0,12.0,11.0,3.0,2.0,0.0,0.0,Martin Atkinson
3633,2010-01-26,Portsmouth,West Ham,1.0,1.0,D,0.0,0.0,D,14.0,12.0,8.0,4.0,6.0,4.0,16.0,9.0,3.0,1.0,0.0,0.0,Andre Marriner
3634,2010-01-26,Tottenham,Fulham,2.0,0.0,H,1.0,0.0,H,13.0,9.0,7.0,6.0,11.0,3.0,11.0,16.0,1.0,1.0,0.0,0.0,Mike Dean
