,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,ref_name
3238,2009-10-01,Arsenal,Bolton,1.0,0.0,H,0.0,0.0,D,14.0,2.0,9.0,2.0,5.0,0.0,13.0,16.0,2.0,2.0,0.0,0.0,Chris Foy
3239,2009-10-01,Aston Villa,West Brom,2.0,1.0,H,2.0,0.0,H,21.0,9.0,13.0,6.0,10.0,7.0,12.0,17.0,1.0,1.0,0.0,0.0,Steve Bennett
3240,2009-10-01,Everton,Hull,2.0,0.0,H,2.0,0.0,H,8.0,5.0,5.0,0.0,5.0,3.0,14.0,26.0,2.0,5.0,0.0,0.0,Martin Atkinson
3241,2009-10-01,Middlesbrough,Sunderland,1.0,1.0,D,1.0,0.0,H,9.0,10.0,3.0,5.0,2.0,7.0,11.0,13.0,0.0,4.0,0.0,0.0,Phil Dowd
3242,2009-10-01,Newcastle,West Ham,2.0,2.0,D,1.0,1.0,D,21.0,12.0,12.0,11.0,8.0,3.0,10.0,18.0,1.0,0.0,0.0,0.0,Alan Wiley
3243,2009-10-01,Stoke,Liverpool,0.0,0.0,D,0.0,0.0,D,5.0,7.0,0.0,3.0,4.0,5.0,10.0,10.0,2.0,2.0,0.0,0.0,Lee Mason
3244,2009-11-01,Man United,Chelsea,3.0,0.0,H,1.0,0.0,H,14.0,10.0,11.0,6.0,6.0,3.0,14.0,14.0,3.0,5.0,0.0,0.0,Howard Webb
3245,2009-11-01,Wigan,Tottenham,1.0,0.0,H,0.0,0.0,D,13.0,6.0,5.0,3.0,8.0,3.0,13.0,13.0,3.0,3.0,0.0,0.0,Andre Marriner
3246,2009-01-14,Man United,Wigan,1.0,0.0,H,1.0,0.0,H,9.0,13.0,6.0,3.0,4.0,6.0,9.0,9.0,0.0,3.0,0.0,0.0,Steve Bennett
3247,2009-01-17,Blackburn,Newcastle,3.0,0.0,H,0.0,0.0,D,9.0,10.0,4.0,3.0,2.0,5.0,13.0,10.0,2.0,3.0,0.0,1.0,Rob Styles
3248,2009-01-17,Bolton,Man United,0.0,1.0,A,0.0,0.0,D,7.0,16.0,2.0,13.0,1.0,8.0,8.0,5.0,1.0,1.0,0.0,0.0,Andre Marriner
3249,2009-01-17,Chelsea,Stoke,2.0,1.0,H,0.0,0.0,D,37.0,4.0,22.0,1.0,10.0,4.0,6.0,16.0,0.0,3.0,0.0,0.0,Peter Walton
3250,2009-01-17,Hull,Arsenal,1.0,3.0,A,0.0,1.0,A,4.0,13.0,3.0,9.0,4.0,4.0,11.0,19.0,1.0,1.0,0.0,0.0,Alan Wiley
3251,2009-01-17,Man City,Wigan,1.0,0.0,H,0.0,0.0,D,10.0,15.0,3.0,6.0,2.0,11.0,12.0,16.0,1.0,4.0,1.0,0.0,Lee Mason
3252,2009-01-17,Sunderland,Aston Villa,1.0,2.0,A,1.0,0.0,H,9.0,4.0,6.0,3.0,8.0,6.0,14.0,17.0,4.0,2.0,0.0,1.0,Mike Dean
3253,2009-01-17,West Brom,Middlesbrough,3.0,0.0,H,1.0,0.0,H,12.0,9.0,8.0,3.0,5.0,3.0,13.0,4.0,0.0,2.0,0.0,1.0,Mark Halsey
3254,2009-01-18,Tottenham,Portsmouth,1.0,1.0,D,0.0,0.0,D,26.0,11.0,15.0,4.0,8.0,4.0,6.0,10.0,0.0,2.0,0.0,0.0,Steve Bennett
3255,2009-01-18,West Ham,Fulham,3.0,1.0,H,1.0,1.0,D,11.0,9.0,7.0,5.0,3.0,3.0,13.0,17.0,1.0,3.0,0.0,0.0,Phil Dowd
3256,2009-01-19,Liverpool,Everton,1.0,1.0,D,0.0,0.0,D,9.0,7.0,5.0,6.0,4.0,4.0,19.0,15.0,0.0,2.0,0.0,0.0,Howard Webb
3257,2009-01-27,Portsmouth,Aston Villa,0.0,1.0,A,0.0,1.0,A,17.0,9.0,8.0,2.0,17.0,5.0,9.0,10.0,2.0,2.0,1.0,0.0,Peter Walton
3258,2009-01-27,Sunderland,Fulham,1.0,0.0,H,0.0,0.0,D,16.0,15.0,11.0,8.0,3.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,Mark Halsey
3259,2009-01-27,Tottenham,Stoke,3.0,1.0,H,3.0,0.0,H,22.0,6.0,14.0,3.0,7.0,4.0,19.0,21.0,2.0,3.0,0.0,0.0,Mike Riley
3260,2009-01-27,West Brom,Man United,0.0,5.0,A,0.0,2.0,A,10.0,17.0,4.0,10.0,5.0,4.0,11.0,7.0,5.0,2.0,1.0,0.0,Rob Styles
