,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,ref_name
578,2002-01-01,Charlton,Ipswich,3.0,2.0,H,2.0,2.0,D,13.0,6.0,8.0,4.0,11.0,4.0,19.0,12.0,2.0,2.0,0.0,0.0,Uriah Rennie
579,2002-01-01,Chelsea,Southampton,2.0,4.0,A,2.0,1.0,H,13.0,8.0,6.0,5.0,2.0,6.0,14.0,18.0,2.0,1.0,0.0,0.0,Eddie Wolstenholme
580,2002-01-01,Leeds,West Ham,3.0,0.0,H,2.0,0.0,H,12.0,9.0,11.0,4.0,8.0,6.0,15.0,8.0,3.0,2.0,0.0,0.0,Steve Dunn
581,2002-01-01,Liverpool,Bolton,1.0,1.0,D,0.0,0.0,D,15.0,7.0,5.0,6.0,4.0,8.0,8.0,15.0,1.0,4.0,0.0,0.0,Clive Wilkes
582,2002-01-01,Middlesbrough,Everton,1.0,0.0,H,0.0,0.0,D,10.0,11.0,4.0,3.0,5.0,6.0,12.0,10.0,1.0,2.0,0.0,0.0,Rob Styles
583,2002-01-01,Sunderland,Aston Villa,1.0,1.0,D,0.0,0.0,D,18.0,8.0,11.0,4.0,7.0,0.0,14.0,13.0,1.0,3.0,0.0,0.0,Mike Riley
584,2002-01-01,Tottenham,Blackburn,1.0,0.0,H,1.0,0.0,H,12.0,11.0,7.0,7.0,7.0,9.0,14.0,17.0,0.0,1.0,0.0,0.0,Jeff Winter
585,2002-02-01,Derby,Fulham,0.0,1.0,A,0.0,0.0,D,10.0,8.0,0.0,4.0,10.0,3.0,17.0,7.0,1.0,2.0,0.0,0.0,Barry Knight
586,2002-02-01,Man United,Newcastle,3.0,1.0,H,1.0,0.0,H,11.0,11.0,7.0,6.0,6.0,5.0,11.0,8.0,1.0,1.0,0.0,0.0,Peter Jones
587,2002-09-01,Southampton,Liverpool,2.0,0.0,H,0.0,0.0,D,9.0,7.0,7.0,4.0,5.0,6.0,12.0,7.0,0.0,1.0,0.0,0.0,Graham Poll
588,2002-12-01,Aston Villa,Derby,2.0,1.0,H,2.0,1.0,H,9.0,3.0,5.0,1.0,4.0,1.0,15.0,13.0,2.0,3.0,0.0,1.0,Mark Halsey
589,2002-12-01,Blackburn,Charlton,4.0,1.0,H,2.0,0.0,H,18.0,9.0,11.0,6.0,7.0,2.0,12.0,11.0,0.0,0.0,0.0,1.0,Neale Barry
590,2002-12-01,Bolton,Chelsea,2.0,2.0,D,0.0,0.0,D,11.0,9.0,5.0,4.0,10.0,3.0,10.0,11.0,0.0,1.0,0.0,0.0,Jeff Winter
591,2002-12-01,Everton,Sunderland,1.0,0.0,H,1.0,0.0,H,9.0,6.0,5.0,1.0,4.0,5.0,11.0,16.0,1.0,1.0,0.0,0.0,David Elleray
