,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,ref_name
4367,2012-01-01,Sunderland,Man City,1.0,0.0,H,0.0,0.0,D,8.0,25.0,5.0,11.0,1.0,10.0,7.0,6.0,1.0,1.0,0.0,0.0,Kevin Friend
4368,2012-01-01,West Brom,Everton,0.0,1.0,A,0.0,0.0,D,10.0,13.0,2.0,8.0,2.0,7.0,10.0,8.0,0.0,2.0,0.0,0.0,Stuart Attwell
4369,2012-02-01,Aston Villa,Swansea,0.0,2.0,A,0.0,1.0,A,10.0,8.0,2.0,4.0,14.0,0.0,11.0,6.0,2.0,4.0,0.0,0.0,Anthony Taylor
4370,2012-02-01,Blackburn,Stoke,1.0,2.0,A,0.0,2.0,A,14.0,8.0,7.0,3.0,8.0,3.0,8.0,7.0,2.0,1.0,0.0,0.0,Lee Mason
4371,2012-02-01,Fulham,Arsenal,2.0,1.0,H,0.0,1.0,A,21.0,17.0,8.0,10.0,4.0,3.0,6.0,12.0,0.0,1.0,0.0,1.0,Lee Probert
4372,2012-02-01,QPR,Norwich,1.0,2.0,A,1.0,1.0,D,9.0,13.0,6.0,6.0,2.0,5.0,12.0,12.0,2.0,1.0,1.0,0.0,Neil Swarbrick
4373,2012-02-01,Wolves,Chelsea,1.0,2.0,A,0.0,0.0,D,9.0,15.0,5.0,10.0,0.0,5.0,9.0,10.0,3.0,2.0,0.0,0.0,Peter Walton
4374,2012-03-01,Man City,Liverpool,3.0,0.0,H,2.0,0.0,H,10.0,18.0,8.0,10.0,5.0,6.0,13.0,7.0,1.0,2.0,1.0,0.0,Mike Jones
4375,2012-03-01,Tottenham,West Brom,1.0,0.0,H,0.0,0.0,D,20.0,8.0,14.0,2.0,14.0,7.0,3.0,14.0,0.0,5.0,0.0,0.0,Mark Halsey
4376,2012-03-01,Wigan,Sunderland,1.0,4.0,A,0.0,1.0,A,20.0,10.0,10.0,9.0,9.0,6.0,9.0,6.0,1.0,0.0,0.0,0.0,Mike Dean
4377,2012-04-01,Everton,Bolton,1.0,2.0,A,0.0,0.0,D,10.0,12.0,4.0,7.0,5.0,10.0,7.0,11.0,1.0,3.0,0.0,0.0,Phil Dowd
4378,2012-04-01,Newcastle,Man United,3.0,0.0,H,1.0,0.0,H,10.0,6.0,6.0,6.0,4.0,4.0,16.0,15.0,1.0,2.0,0.0,0.0,Howard Webb
4379,2012-11-01,Tottenham,Everton,2.0,0.0,H,1.0,0.0,H,14.0,11.0,7.0,4.0,6.0,4.0,5.0,15.0,1.0,3.0,0.0,0.0,Martin Atkinson
4380,2012-01-14,Aston Villa,Everton,1.0,1.0,D,0.0,0.0,D,17.0,7.0,11.0,4.0,9.0,3.0,12.0,11.0,1.0,1.0,0.0,0.0,Mark Clattenburg
4381,2012-01-14,Blackburn,Fulham,3.0,1.0,H,1.0,0.0,H,15.0,17.0,11.0,7.0,0.0,9.0,14.0,11.0,1.0,1.0,1.0,0.0,Anthony Taylor
4382,2012-01-14,Chelsea,Sunderland,1.0,0.0,H,1.0,0.0,H,21.0,9.0,10.0,4.0,8.0,2.0,9.0,9.0,3.0,1.0,0.0,0.0,Phil Dowd
4383,2012-01-14,Liverpool,Stoke,0.0,0.0,D,0.0,0.0,D,13.0,3.0,5.0,1.0,11.0,1.0,6.0,11.0,0.0,3.0,0.0,0.0,Howard Webb
4384,2012-01-14,Man United,Bolton,3.0,0.0,H,1.0,0.0,H,19.0,11.0,9.0,5.0,11.0,3.0,7.0,7.0,0.0,1.0,0.0,0.0,Peter Walton
4385,2012-01-14,Tottenham,Wolves,1.0,1.0,D,0.0,1.0,A,22.0,5.0,10.0,3.0,8.0,1.0,6.0,12.0,1.0,3.0,0.0,0.0,Mike Jones
