,Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
1,1,2000-08-19,Chelsea,West Ham,4,2,H,1,0,H,Graham Barber,17,12,10,5,7,7,19,14,1,2,0,0
24,24,2000-08-26,Middlesbrough,Leeds,1,2,A,0,2,A,Graham Barber,15,16,8,11,4,8,12,20,2,0,0,0
43,43,2000-09-09,Liverpool,Man City,3,2,H,1,0,H,Graham Barber,14,9,8,7,9,4,17,17,3,4,0,0
56,56,2000-09-17,Chelsea,Leicester,0,2,A,0,1,A,Graham Barber,16,7,10,5,15,3,16,17,3,1,0,0
76,76,2000-01-10,Arsenal,Man United,1,0,H,1,0,H,Graham Barber,7,13,5,4,3,11,18,17,2,3,0,0
180,180,2000-12-23,Charlton,Everton,1,0,H,1,0,H,Graham Barber,10,10,7,4,13,6,15,21,1,4,0,0
199,199,2000-12-30,Arsenal,Sunderland,2,2,D,2,0,H,Graham Barber,17,14,9,7,11,1,14,18,0,3,0,0
