,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,ref_name
1328,2004-06-01,Aston Villa,Portsmouth,2.0,1.0,H,1.0,0.0,H,18.0,11.0,13.0,4.0,9.0,6.0,17.0,14.0,0.0,0.0,0.0,0.0,Jeff Winter
1329,2004-07-01,Bolton,Man United,1.0,2.0,A,0.0,2.0,A,15.0,11.0,5.0,7.0,10.0,6.0,4.0,8.0,2.0,0.0,0.0,0.0,Dermot Gallagher
1330,2004-07-01,Chelsea,Liverpool,0.0,1.0,A,0.0,1.0,A,9.0,4.0,2.0,1.0,8.0,3.0,15.0,9.0,0.0,2.0,0.0,1.0,Steve Dunn
1331,2004-07-01,Everton,Arsenal,1.0,1.0,D,0.0,1.0,A,8.0,9.0,4.0,5.0,5.0,4.0,13.0,16.0,0.0,3.0,0.0,0.0,Alan Wiley
1332,2004-07-01,Man City,Charlton,1.0,1.0,D,1.0,0.0,H,18.0,9.0,10.0,4.0,2.0,2.0,9.0,11.0,0.0,0.0,0.0,0.0,Peter Walton
1333,2004-07-01,Middlesbrough,Fulham,2.0,1.0,H,1.0,0.0,H,10.0,9.0,5.0,4.0,9.0,1.0,14.0,17.0,1.0,2.0,0.0,0.0,Paul Durkin
1334,2004-07-01,Newcastle,Leeds,1.0,0.0,H,1.0,0.0,H,13.0,9.0,6.0,5.0,5.0,3.0,14.0,17.0,0.0,1.0,0.0,0.0,Phil Dowd
1335,2004-07-01,Southampton,Leicester,0.0,0.0,D,0.0,0.0,D,14.0,9.0,14.0,8.0,4.0,5.0,12.0,15.0,2.0,1.0,0.0,0.0,Howard Webb
1336,2004-07-01,Tottenham,Birmingham,4.0,1.0,H,3.0,0.0,H,11.0,9.0,7.0,3.0,1.0,6.0,15.0,6.0,0.0,0.0,0.0,0.0,Barry Knight
1337,2004-07-01,Wolves,Blackburn,2.0,2.0,D,0.0,1.0,A,10.0,9.0,5.0,5.0,2.0,7.0,13.0,20.0,1.0,1.0,0.0,0.0,Neale Barry
